"iNatID","species","long","lat","year","month","day","Nclicks","Rmean","Rvar","Rsd","Gmean","Gvar","Gsd","Bmean","Bvar","Bsd","state","county","elev","AnMnTmp","MnDayRange","Isotherm","TmpSeas","MxTmpWrmMo","MnTempCldMo","TmpAnnRng","MnTmpWetQt","MnTmpDryQt","MnTmpWrmQt","MnTmpCldQt","AnnPrcp","PrcpWetMo","PrcpDryMo","PrcpSeas","PrcpWetQt","PrcpDryQt","PrcpWrmQt","PrcpCldQt","landuse"
2108,"Erysimum capitatum",-121.9362030029,37.8987464905,2009,3,21,10,254.4,0.488888888888889,0.699205898780101,200.4,90.7111111111111,9.52423808559567,0.7,0.677777777777778,0.823272602348565,"California","Contra Costa","499",14.9125003814697,12.6083335876465,46.6975326538086,538.457946777344,30.6000003814697,3.59999990463257,27,8.73333358764648,21.1000003814697,21.8666667938232,8.73333358764648,753,159,2,91.6567764282227,407,11,17,407,"wild"
6339,"Erysimum capitatum",-121.1895141602,36.4908180237,2010,4,3,10,254.8,0.4,0.632455532033676,175.9,48.5444444444444,6.96738433305099,0.7,0.677777777777778,0.823272602348565,"California","San Benito","580",14.1791667938232,17.3583335876465,54.4148368835449,522.221923828125,32.7000007629395,0.800000011920929,31.9000015258789,8.90000057220459,20.3333339691162,21.0666675567627,8.33333301544189,488,90,1,88.76953125,260,6,14,249,"wild"
6477,"Erysimum capitatum",-121.9131774902,37.8786277771,2010,4,10,10,253.4,9.37777777777778,3.06231575409489,233.5,128.277777777778,11.3259780053547,53,355.333333333333,18.8502873541316,"California","Contra Costa","993",13.6208333969116,11.0749998092651,42.5961570739746,574.541137695312,29.2999992370605,3.29999995231628,26,7.69999980926514,20.2333335876465,21.3500003814697,7.63333320617676,1181,238,3,90.3770294189453,626,17,27,600,"wild"
6618,"Erysimum",-121.653356791,37.1553720643,2010,4,18,15,245.666666666667,126.52380952381,11.2482802918406,222,419.571428571429,20.4834427909819,21.8,478.6,21.8769284864215,"California","Santa Clara","112",15.5916662216187,14.3666667938232,53.4076805114746,470.714324951172,30.1000003814697,3.20000004768372,26.8999996185303,10.783332824707,20.9166660308838,21.3333339691162,9.78333282470703,481,100,2,91.1839218139648,254,6,11,254,"notWild"
18985,"Erysimum",-121.9580019258,36.6016577249,2010,3,27,15,230.6,171.971428571429,13.1137877278622,231.466666666667,233.409523809524,15.277746031713,6.93333333333333,58.352380952381,7.63887301585652,"FALSE","FALSE","16",12.8583335876465,8.31666660308838,67.0698928833008,149.314086914062,19,6.59999990463257,12.3999996185303,11.283332824707,14.25,14.6666669845581,11.0166664123535,806,159,3,90.1472854614258,426,13,19,424,"wild"
19963,"Erysimum",-119.3522071838,38.1485975599,2009,6,13,15,244.133333333333,26.4095238095238,5.139019732354,246.333333333333,53.2380952380952,7.29644401322283,64.8666666666667,576.266666666667,24.0055549127002,"California","Mono","2322",4.48333311080933,17.1000003814697,47.3684196472168,678.823608398438,24.6000003814697,-11.5,36.0999984741211,-3.30000019073486,13.0833330154419,13.2833337783813,-3.30000019073486,461,78,14,61.3613967895508,211,46,49,211,"wild"
28121,"Erysimum",-119.3640494,38.1079761,2011,8,13,12,235.916666666667,20.8106060606061,4.5618643185222,240.666666666667,24.7878787878788,4.97874269147129,13.6666666666667,95.8787878787879,9.79177143722156,"California","Mono","3103",0.51666671037674,14.216667175293,44.0144462585449,640.235534667969,19.1000003814697,-13.1999998092651,32.2999992370605,-4.80000019073486,8.33333301544189,9.33333301544189,-6.13333320617676,728,124,20,64.6704711914062,335,64,71,331,"wild"
33347,"Erysimum capitatum",-119.1633367538,34.5865842321,2010,5,28,13,253.384615384615,2.42307692307692,1.55662356498831,212.846153846154,92.474358974359,9.61635892499645,2,3.33333333333333,1.82574185835055,"California","Ventura","1153",12.8666667938232,14.216667175293,49.1926193237305,555.551879882812,29.6000003814697,0.699999988079071,28.8999996185303,6.93333339691162,19.7333335876465,20.2999992370605,6.93333339691162,445,89,1,93.5393981933594,243,6,11,243,"wild"
36055,"Erysimum capitatum",-121.9337180257,37.8789712546,2010,3,20,10,254.7,0.233333333333333,0.483045891539648,211,27.3333333333333,5.22812904711937,7.7,39.3444444444444,6.27251500153204,"California","Contra Costa","803",14.2749996185303,11.7666664123535,44.0699119567871,563.578247070312,30.1000003814697,3.40000009536743,26.7000007629395,8.25,20.7333335876465,21.783332824707,8.25,1021,209,2,91.0885162353516,544,13,22,544,"wild"
46298,"Erysimum",-122.5121841431,37.7814483643,2012,1,7,15,254,2.14285714285714,1.4638501094228,253.933333333333,1.4952380952381,1.22279928657082,248.333333333333,118.666666666667,10.8934230922455,"FALSE","FALSE","29",13.7583332061768,9.25,60.45751953125,229.652252197266,21.8999996185303,6.59999990463257,15.2999992370605,10.7666664123535,15.8500003814697,16.3333339691162,10.7666664123535,898,185,3,91.7094955444336,490,12,17,490,"wild"
